,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
18504,AJAX TOOL WORKS INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110001816740,41.941111,-87.89634000000002
21773,SELECT BEVERAGES INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110010287493,41.91226,-87.90339
43729,BODYCOTE THERMAL PROCESSING,13,,http://echo.epa.gov/detailed-facility-report?fid=110000431480,41.91063,-87.86816
57929,SONOCO CLEAR PACK,13,,http://echo.epa.gov/detailed-facility-report?fid=110001677846,41.94066,-87.91808
69312,ROSEMONT VILLAGE OF,13,,http://echo.epa.gov/detailed-facility-report?fid=110041976270,41.97582,-87.87093
90825,INDIANA HARBOR BELT,13,,http://echo.epa.gov/detailed-facility-report?fid=110001350779,41.92239,-87.8611
9982,COMBINED SEWER OVERFLOWS,12,,http://echo.epa.gov/detailed-facility-report?fid=110018330386,41.80367,-87.92872
79321,CHICAGO - DEPT OF AVIATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110009989799,41.979201,-87.89832
64564,NAVISTAR INC,11,,http://echo.epa.gov/detailed-facility-report?fid=110000888736,41.910625,-87.879982
28241,ALPHA CIRCUITS,6,,http://echo.epa.gov/detailed-facility-report?fid=110011255364,41.92119,-87.95719
16645,CANADIAN PACIFIC-BENSENVILLE RAIL YARD,4,,http://echo.epa.gov/detailed-facility-report?fid=110009989780,41.94618,-87.9079
91678,VCNA PRAIRIE - YARD 1008,4,,http://echo.epa.gov/detailed-facility-report?fid=110025332888,42.00693,-87.91427
5570,"NORRIDGE, VILLAGE OF",1,,http://echo.epa.gov/detailed-facility-report?fid=110017705107,41.95344,-87.81458
58436,"RIVER GROVE, VILLAGE OF",1,,http://echo.epa.gov/detailed-facility-report?fid=110014449579,41.92746,-87.8357
65493,AIRCRAFT SERVICE INTERNATIONAL INC. D/B/A MENZIES AVIATION,1,,http://echo.epa.gov/detailed-facility-report?fid=110009983679,41.98,-87.904444
79451,PETERSON PROD CO,1,,http://echo.epa.gov/detailed-facility-report?fid=110012704341,41.96703400000001,-87.861624
7665,LOOP CENTER LLC DBA US GLOBAL PETROLEUM,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000772799,41.920676,-87.853183
21588,"HARWOOD HEIGHTS, VILLAGE OF",0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110017707052,41.96359,-87.80968
1433,A & L CONSTRUCTION,0,,http://echo.epa.gov/detailed-facility-report?fid=110001357175,41.91005300000001,-87.873657
1701,AMERICAN/JEBCO CORP,0,,http://echo.epa.gov/detailed-facility-report?fid=110000431097,41.937301,-87.907863
