,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
8032,"TIGER CONCRETE, INC.",13,,http://echo.epa.gov/detailed-facility-report?fid=110010007973,41.89818,-87.651925
13102,GJ NIKOLAS CO,13,,http://echo.epa.gov/detailed-facility-report?fid=110000430622,41.881475,-87.867674
31293,CVS PHARMACY 2590,13,,http://echo.epa.gov/detailed-facility-report?fid=110017703715,41.88325,-87.62998
58580,BORG-WARNER TRANSMISSION SYSTEMS,13,,http://echo.epa.gov/detailed-facility-report?fid=110000430604,41.880436,-87.865316
74616,METAL MANAGEMENT MIDWEST INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110001304865,41.88803400000001,-87.689319
88866,"WESTCHESTER, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110018042553,41.86329,-87.88094
95908,FERRARA CANDY CO,13,,http://echo.epa.gov/detailed-facility-report?fid=110005932697,41.88042,-87.87009
72903,"CHICAGO CSO, CITY OF",12,,http://echo.epa.gov/detailed-facility-report?fid=110005853932,41.883878,-87.632449
48224,300 NORTH LASALLE LLC,11,,http://echo.epa.gov/detailed-facility-report?fid=110030768783,41.888211,-87.632971
16867,MJH WACKER LLC - 150 SOUTH WACKER,9,,http://echo.epa.gov/detailed-facility-report?fid=110025313676,41.880047,-87.63695200000002
64282,RIVER NORTH POINT,9,,http://echo.epa.gov/detailed-facility-report?fid=110009987229,41.88867,-87.63694
65798,CONGRESS DEVELOPMENT CO,9,,http://echo.epa.gov/detailed-facility-report?fid=110009377897,41.870266,-87.888039
2898,DUS MANAGEMENT INC,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010026382,41.88683,-87.62680999999998
33473,MPEA ENERGY CENTER,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110028020022,41.852748,-87.61784200000002
6083,ILLINOIS CENTER-ONE BUILDING,8,,http://echo.epa.gov/detailed-facility-report?fid=110017759585,41.88818,-87.62363
17180,RIVER CITY MARINA,8,,http://echo.epa.gov/detailed-facility-report?fid=110005965063,41.87164,-87.63356
22236,TRIBUNE TOWER,7,,http://echo.epa.gov/detailed-facility-report?fid=110018288155,41.89029,-87.6241
86932,COM ED - TECHNICAL CENTER/DVA,6,,http://echo.epa.gov/detailed-facility-report?fid=110042004684,41.874226,-87.832491
43198,SKYWAY CONCESSION COMPANY LLC,5,,http://echo.epa.gov/detailed-facility-report?fid=110070212505,41.88602,-87.62453000000002
53753,W-Z NMA OFFICE OWNER VIII LLC,3,,http://echo.epa.gov/detailed-facility-report?fid=110018290295,41.889412,-87.62413000000002
